wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�;w1_zaszczepieni_w_wieku_0_11;w1_zaszczepieni_w_wieku_12_19;w1_zaszczepieni_w_wieku_20_39;w1_zaszczepieni_w_wieku_40_59;w1_zaszczepieni_w_wieku_60_69;w1_zaszczepieni_w_wieku_70plus;w3_zaszczepieni_pe�n�_dawk�_w_wieku_0_11;w3_zaszczepieni_pe�n�_dawk�_w_wieku_12_19;w3_zaszczepieni_pe�n�_dawk�_w_wieku_20_39;w3_zaszczepieni_pe�n�_dawk�_w_wieku_40_59;w3_zaszczepieni_pe�n�_dawk�_w_wieku_60_69;w3_zaszczepieni_pe�n�_dawk�_w_wieku_70plus
30;wielkopolskie;3009;kolski;3009011;Koło;Koniński;21247;11658;11361;54,8689;53,4711;0;569;2453;3590;2588;2458;0;528;2385;3513;2539;2396
24;śląskie;2416;zawierciański;2416032;gm.w Irządze;Częstochowski;2579;1398;1379;54,2071;53,4703;0;66;321;449;252;310;0;64;316;445;248;306
12;małopolskie;1203;chrzanowski;1203043;gm.m-w. Libiąż;Katowicki;22136;12063;11836;54,4949;53,4695;0;660;2864;4054;2435;2050;0;623;2797;3998;2405;2013
4;kujawsko-pomorskie;407;inowrocławski;407053;gm.m-w. Janikowo;Bydgoski;12961;7031;6928;54,2474;53,4527;0;410;1603;2423;1406;1189;0;393;1576;2397;1387;1175
12;małopolskie;1208;miechowski;1208012;gm.w Charsznica;Kielecki;7377;4089;3943;55,429;53,4499;0;220;977;1262;798;832;0;209;928;1212;780;814
22;pomorskie;2204;gdański;2204062;gm.w Pszczółki;Gdański;9927;5458;5305;54,9814;53,4401;0;344;1676;1863;930;645;0;321;1627;1817;912;628
4;kujawsko-pomorskie;408;lipnowski;408011;Lipno;Włocławski;14283;7894;7632;55,2685;53,4342;0;526;1817;2624;1596;1331;0;484;1749;2566;1550;1283
30;wielkopolskie;3061;Kalisz;3061011;Kalisz;;99106;54397;52950;54,8877;53,4276;0;2745;11851;17315;10410;12076;0;2598;11464;16914;10199;11775
32;zachodniopomorskie;3217;wałecki;3217033;gm.m-w. Mirosławiec;Pilski;5352;2929;2859;54,7272;53,4193;0;243;712;914;607;453;0;230;695;891;601;442
10;łódzkie;1020;zgierski;1020043;gm.m-w. Aleksandrów Łódzki;;32685;17991;17460;55,0436;53,419;0;1164;4158;6507;3132;3030;0;1091;4012;6326;3054;2977
10;łódzkie;1013;rawski;1013011;Rawa Mazowiecka;Skierniewicki;17193;9445;9184;54,9351;53,4171;0;502;2207;2947;2036;1753;0;456;2132;2872;2006;1718
24;śląskie;2417;żywiecki;2417022;gm.w Czernichów;Bielski;6663;3643;3559;54,6751;53,4144;0;210;913;1188;672;660;0;200;883;1169;660;647
28;warmińsko-mazurskie;2814;olsztyński;2814042;gm.w Dywity;Olsztyński;12274;6737;6555;54,8884;53,4056;0;481;1654;2566;1229;807;0;454;1610;2505;1202;784
32;zachodniopomorskie;3207;kamieński;3207033;gm.m-w. Kamień Pomorski;Szczeciński;14217;7871;7592;55,3633;53,4009;0;428;1713;2347;1775;1608;0;401;1655;2274;1727;1535
8;lubuskie;806;strzelecko-drezdenecki;806013;gm.m-w. Dobiegniew;Gorzowski;6462;3534;3450;54,689;53,389;0;227;769;1127;740;671;0;213;748;1106;725;658
22;pomorskie;2202;chojnicki;2202011;Chojnice;;39647;21630;21166;54,5565;53,3861;0;1345;5268;6697;4306;4014;0;1279;5125;6571;4240;3951
30;wielkopolskie;3003;gnieźnieński;3003053;gm.m-w. Kłecko;Poznański;7431;4046;3967;54,4476;53,3845;0;306;1077;1325;754;584;0;295;1053;1308;735;576
32;zachodniopomorskie;3216;świdwiński;3216011;Świdwin;Koszaliński;15338;8535;8183;55,6461;53,3512;1;496;1995;2597;1815;1631;1;439;1892;2531;1766;1554
14;mazowieckie;1434;wołomiński;1434123;gm.m-w. Wołomin;;51726;28450;27594;55,0014;53,3465;0;1833;7015;9599;5002;5001;0;1701;6752;9357;4887;4897
2;dolnośląskie;226;złotoryjski;226021;Złotoryja;Legnicki;15273;8361;8147;54,7437;53,3425;0;454;1742;2535;1929;1701;0;424;1681;2481;1894;1667
24;śląskie;2406;kłobucki;2406013;gm.m-w. Kłobuck;Częstochowski;20213;11094;10781;54,8855;53,337;0;554;2503;3839;2057;2141;0;517;2421;3760;2004;2079
30;wielkopolskie;3011;kościański;3011032;gm.w Kościan;Leszczyński;16204;8826;8641;54,468;53,3263;0;597;2527;3062;1524;1116;0;568;2460;3017;1501;1095
14;mazowieckie;1404;gostyniński;1404011;Gostynin;Płocki;18355;9985;9787;54,3993;53,3206;0;515;2133;3106;2117;2114;0;498;2064;3048;2078;2099
30;wielkopolskie;3010;koniński;3010043;gm.m-w. Kleczew;Koniński;9908;5399;5282;54,4913;53,3105;0;349;1400;1924;949;777;0;333;1356;1893;937;763
4;kujawsko-pomorskie;411;radziejowski;411042;gm.w Osięciny;Włocławski;7529;4077;4013;54,1506;53,3006;0;264;970;1372;723;748;0;246;953;1356;719;739
22;pomorskie;2205;kartuski;2205083;gm.m-w. Żukowo;;42364;23144;22580;54,6313;53,3;0;2026;7565;8393;2919;2241;0;1932;7366;8216;2865;2201
26;świętokrzyskie;2610;skarżyski;2610053;gm.m-w. Suchedniów;Kielecki;10036;5474;5349;54,5436;53,2981;0;261;1246;1721;1094;1152;0;251;1214;1676;1068;1140
32;zachodniopomorskie;3202;choszczeński;3202042;gm.w Krzęcin;Gorzowski;3622;1962;1930;54,169;53,2855;0;114;491;649;407;301;0;111;476;644;403;296
30;wielkopolskie;3026;śremski;3026012;gm.w Brodnica;Poznański;4902;2667;2612;54,4064;53,2844;0;193;773;902;461;338;0;186;750;894;454;328
4;kujawsko-pomorskie;410;nakielski;410033;gm.m-w. Nakło nad Notecią;;31552;17245;16811;54,6558;53,2803;0;1168;4133;5684;3339;2921;0;1072;3996;5582;3293;2868
4;kujawsko-pomorskie;409;mogileński;409022;gm.w Jeziora Wielkie;Bydgoski;4833;2657;2575;54,9762;53,2795;0;169;651;859;523;455;0;164;625;835;510;441
24;śląskie;2402;bielski;2402082;gm.w Porąbka;Bielski;15581;8447;8301;54,2135;53,2764;0;555;2092;2916;1446;1438;0;532;2037;2871;1435;1426
26;świętokrzyskie;2605;konecki;2605033;gm.m-w. Końskie;;34857;18957;18566;54,3851;53,2633;0;984;3967;6116;3808;4082;0;939;3869;6012;3737;4009
28;warmińsko-mazurskie;2808;kętrzyński;2808011;Kętrzyn;Olsztyński;26788;14600;14265;54,502;53,2515;0;870;2944;4472;3245;3069;0;832;2841;4375;3204;3013
10;łódzkie;1005;łowicki;1005062;gm.w Kocierzew Południowy;Skierniewicki;4179;2314;2225;55,3721;53,2424;0;154;585;732;398;445;0;144;560;709;391;421
24;śląskie;2405;gliwicki;2405042;gm.w Pilchowice;Katowicki;12138;6601;6462;54,3829;53,2378;0;497;1619;2440;1085;960;0;470;1583;2397;1072;940
2;dolnośląskie;209;legnicki;209052;gm.w Legnickie Pole;Legnicki;5170;2824;2752;54,6228;53,2302;0;125;628;1005;579;487;0;115;613;983;568;473
14;mazowieckie;1411;makowski;1411011;Maków Mazowiecki;Ostrołęcki;9575;5224;5096;54,5587;53,2219;0;308;1184;1582;1134;1016;0;293;1144;1547;1111;1001
12;małopolskie;1203;chrzanowski;1203022;gm.w Babice;Katowicki;9084;4943;4834;54,4144;53,2144;0;273;1196;1716;881;877;0;256;1161;1683;870;864
24;śląskie;2414;bieruńsko-lędziński;2414011;Bieruń;Katowicki;19375;10532;10310;54,3587;53,2129;0;642;2847;3457;2141;1445;0;605;2793;3390;2104;1418
2;dolnośląskie;217;strzeliński;217043;gm.m-w. Strzelin;Wrocławski;22026;12026;11719;54,5991;53,2053;0;630;2888;3844;2477;2187;0;593;2811;3755;2419;2141
10;łódzkie;1016;tomaszowski;1016011;Tomaszów Mazowiecki;;61338;33473;32627;54,5714;53,1921;0;1856;7181;10324;6886;7226;0;1741;6949;10102;6748;7087
26;świętokrzyskie;2602;jędrzejowski;2602012;gm.w Imielno;Kielecki;4301;2329;2287;54,1502;53,1737;0;118;578;673;481;479;0;114;561;664;474;474
2;dolnośląskie;211;lubiński;211011;Lubin;;71710;39158;38128;54,6061;53,1697;0;2212;7975;11625;8152;9194;0;2064;7682;11347;8010;9025
14;mazowieckie;1423;przysuski;1423063;gm.m-w. Przysucha;Radomski;11695;6401;6216;54,7328;53,1509;0;282;1475;2021;1356;1267;0;269;1408;1975;1328;1236
32;zachodniopomorskie;3211;policki;3211043;gm.m-w. Police;;41117;22514;21853;54,7559;53,1483;0;1399;5622;7254;4807;3432;0;1270;5441;7075;4705;3362
30;wielkopolskie;3016;obornicki;3016023;gm.m-w. Rogoźno;Pilski;18372;10045;9763;54,6756;53,1406;0;790;2604;3319;1888;1444;0;739;2516;3231;1852;1425
24;śląskie;2468;Jaworzno;2468011;Jaworzno;;90368;49126;48000;54,3622;53,1161;0;2618;11450;16334;9805;8919;0;2469;11137;15994;9657;8743
30;wielkopolskie;3025;średzki;3025012;gm.w Dominowo;Poznański;3180;1732;1689;54,4654;53,1132;0;116;512;576;315;213;0;107;501;565;307;209
14;mazowieckie;1427;sierpecki;1427011;Sierpc;Płocki;17788;9705;9444;54,5593;53,092;0;508;2107;3085;2158;1847;0;475;2029;3003;2124;1813
2;dolnośląskie;225;zgorzelecki;225021;Zgorzelec;Jeleniogórski;29810;16195;15822;54,3274;53,0761;0;720;3071;4980;3476;3948;0;667;2985;4897;3408;3865
8;lubuskie;810;żagański;810011;Gozdnica;Zielonogórski;2977;1606;1580;53,9469;53,0736;0;85;367;466;358;330;0;82;357;463;354;324
12;małopolskie;1212;olkuski;1212073;gm.m-w. Wolbrom;Katowicki;22614;12407;12001;54,8642;53,0689;0;634;3039;4214;2255;2265;0;615;2950;4139;2155;2142
2;dolnośląskie;213;milicki;213033;gm.m-w. Milicz;Wrocławski;24050;13170;12762;54,7609;53,0644;0;817;3184;4148;2534;2487;0;773;3078;4031;2460;2420
4;kujawsko-pomorskie;407;inowrocławski;407073;gm.m-w. Pakość;Bydgoski;9697;5278;5145;54,4292;53,0576;0;353;1215;1805;1012;893;0;340;1166;1769;1001;869
12;małopolskie;1206;krakowski;1206072;gm.w Liszki;Krakowski;17495;9478;9281;54,1755;53,0494;0;605;2734;3269;1665;1205;0;571;2668;3224;1642;1176
4;kujawsko-pomorskie;402;brodnicki;402102;gm.w Zbiczno;Toruński;4873;2641;2584;54,1966;53,0269;0;189;670;859;544;379;0;184;658;844;533;365
4;kujawsko-pomorskie;414;świecki;414093;gm.m-w. Świecie;;33851;18499;17947;54,6483;53,0176;0;1201;4305;5944;3700;3349;0;1132;4185;5803;3575;3252
22;pomorskie;2213;starogardzki;2213082;gm.w Osiek;Gdański;2373;1280;1258;53,9402;53,0131;0;97;304;402;241;236;0;94;298;399;236;231
14;mazowieckie;1412;miński;1412042;gm.w Cegłów;Siedlecki;6072;3306;3218;54,4466;52,9974;0;147;765;1071;711;612;0;136;745;1047;701;589
14;mazowieckie;1437;żuromiński;1437022;gm.w Kuczbork-Osada;Ciechanowski;4691;2533;2486;53,997;52,9951;0;148;611;839;479;456;0;144;594;829;469;450
22;pomorskie;2215;wejherowski;2215031;Wejherowo;;49099;26678;26020;54,3351;52,995;0;1879;6930;8799;4325;4745;0;1782;6723;8599;4245;4671
32;zachodniopomorskie;3214;stargardzki;3214062;gm.w Kobylanka;Szczeciński;5845;3182;3097;54,4397;52,9855;0;224;748;1189;594;427;0;208;724;1165;585;415
14;mazowieckie;1406;grójecki;1406012;gm.w Belsk Duży;Radomski;6440;3493;3412;54,2391;52,9814;0;198;814;1193;622;666;0;193;794;1171;603;651
12;małopolskie;1206;krakowski;1206143;gm.m-w. Świątniki Górne;Krakowski;10302;5580;5458;54,1642;52,98;0;374;1659;1969;901;677;0;354;1624;1929;883;668
2;dolnośląskie;265;Wałbrzych;265011;Wałbrzych;;109971;59764;58256;54,3452;52,974;0;2914;11883;17466;14112;13389;0;2764;11505;17030;13806;13151
4;kujawsko-pomorskie;414;świecki;414082;gm.w Pruszcz;Bydgoski;9558;5198;5063;54,3838;52,9713;0;334;1366;1679;984;835;0;313;1324;1652;974;800
32;zachodniopomorskie;3213;sławieński;3213021;Sławno;Słupski;12357;6746;6544;54,5925;52,9578;0;395;1444;2023;1446;1438;0;362;1381;1972;1412;1417
8;lubuskie;803;międzyrzecki;803063;gm.m-w. Trzciel;Gorzowski;6365;3505;3370;55,0668;52,9458;0;245;879;1134;665;582;0;223;840;1100;636;571
32;zachodniopomorskie;3205;gryficki;3205023;gm.m-w. Gryfice;Szczeciński;23647;12876;12520;54,4509;52,9454;0;801;3012;3963;2827;2273;0;733;2912;3885;2762;2228
4;kujawsko-pomorskie;407;inowrocławski;407082;gm.w Rojewo;Bydgoski;4723;2551;2500;54,0123;52,9325;0;171;687;861;464;368;0;167;666;853;455;359
26;świętokrzyskie;2608;pińczowski;2608052;gm.w Złota;Kielecki;4436;2404;2348;54,193;52,9306;0;119;501;725;485;574;0;112;487;708;477;564
8;lubuskie;808;świebodziński;808032;gm.w Skąpe;Zielonogórski;5056;2760;2676;54,5886;52,9272;0;160;700;915;549;436;0;149;676;888;534;429
4;kujawsko-pomorskie;401;aleksandrowski;401072;gm.w Raciążek;Włocławski;3116;1686;1649;54,1078;52,9204;0;96;390;554;322;324;0;92;383;545;315;314
18;podkarpackie;1821;leski;1821022;gm.w Cisna;Krośnieński;1771;955;937;53,9243;52,908;0;52;208;372;174;149;0;51;202;365;173;146
4;kujawsko-pomorskie;407;inowrocławski;407092;gm.w Złotniki Kujawskie;Bydgoski;9175;4952;4854;53,9728;52,9046;0;332;1216;1748;925;731;0;316;1183;1724;916;715
14;mazowieckie;1417;otwocki;1417052;gm.w Kołbiel;Siedlecki;8235;4515;4355;54,827;52,884;0;254;1244;1481;839;697;0;237;1200;1442;805;671
24;śląskie;2402;bielski;2402093;gm.m-w. Wilamowice;Bielski;17794;9635;9410;54,1475;52,883;0;666;2514;3343;1626;1486;0;635;2433;3279;1600;1463
22;pomorskie;2214;tczewski;2214052;gm.w Subkowy;Gdański;5499;2997;2908;54,5008;52,8823;0;264;861;1070;464;338;0;237;837;1044;456;334
32;zachodniopomorskie;3204;goleniowski;3204052;gm.w Osina;Szczeciński;3024;1644;1599;54,3651;52,877;0;126;407;589;294;228;0;116;394;576;287;226
26;świętokrzyskie;2601;buski;2601013;gm.m-w. Busko-Zdrój;;32005;17325;16916;54,1322;52,8542;0;794;3850;5723;3492;3466;0;743;3758;5605;3420;3390
12;małopolskie;1208;miechowski;1208022;gm.w Gołcza;Krakowski;6034;3284;3188;54,4249;52,8339;0;163;819;1107;612;583;0;153;790;1078;595;572
24;śląskie;2416;zawierciański;2416053;gm.m-w. Łazy;Katowicki;15851;8573;8374;54,0849;52,8295;0;451;1791;2917;1801;1613;0;430;1740;2855;1773;1576
28;warmińsko-mazurskie;2815;ostródzki;2815011;Ostróda;;32714;17807;17282;54,4324;52,8275;0;936;3721;5761;3777;3612;0;869;3586;5610;3695;3522
16;opolskie;1607;nyski;1607053;gm.m-w. Nysa;;56573;30618;29877;54,1212;52,8114;0;1579;6581;9449;6273;6736;0;1484;6366;9266;6150;6611
28;warmińsko-mazurskie;2807;iławski;2807021;Lubawa;Olsztyński;10374;5609;5477;54,0679;52,7955;0;358;1479;1910;1004;858;0;339;1436;1861;994;847
30;wielkopolskie;3010;koniński;3010013;gm.m-w. Golina;Koniński;12077;6529;6373;54,0614;52,7697;0;352;1613;2339;1264;961;0;332;1566;2285;1251;939
22;pomorskie;2209;malborski;2209062;gm.w Miłoradz;Elbląski;3341;1814;1763;54,2951;52,7686;0;140;470;614;361;229;0;127;452;602;357;225
10;łódzkie;1006;łódzki wschodni;1006103;gm.m-w. Rzgów;Łódzki;10592;5770;5589;54,4751;52,7662;0;323;1461;2112;1016;858;0;303;1413;2065;987;821
4;kujawsko-pomorskie;403;bydgoski;403032;gm.w Dobrcz;Bydgoski;11958;6438;6309;53,8384;52,7597;0;518;1588;2342;1106;884;0;502;1548;2301;1093;865
24;śląskie;2416;zawierciański;2416083;gm.m-w. Szczekociny;Częstochowski;7538;4063;3977;53,9002;52,7594;0;177;881;1208;929;868;0;168;860;1178;914;857
4;kujawsko-pomorskie;407;inowrocławski;407042;gm.w Inowrocław;Bydgoski;11845;6377;6249;53,8371;52,7564;0;440;1568;2315;1138;916;0;420;1526;2282;1122;899
6;lubelskie;619;włodawski;619011;Włodawa;Chełmski;12915;6997;6811;54,1773;52,7371;0;446;1448;2164;1523;1416;0;398;1401;2118;1497;1397
12;małopolskie;1219;wielicki;1219032;gm.w Kłaj;Krakowski;10836;5838;5713;53,876;52,7224;0;403;1511;1970;1092;862;0;389;1472;1942;1071;839
12;małopolskie;1214;proszowicki;1214053;gm.m-w. Proszowice;Krakowski;16097;8713;8481;54,1281;52,6868;0;478;2238;2895;1554;1548;0;454;2156;2843;1517;1511
2;dolnośląskie;221;wałbrzyski;221042;gm.w Czarny Bór;Wałbrzyski;4882;2620;2572;53,6665;52,6833;0;192;624;881;530;393;0;188;606;867;522;389
8;lubuskie;802;krośnieński;802011;Gubin;Zielonogórski;16528;8958;8706;54,1989;52,6742;0;440;2231;2851;1790;1646;0;412;2146;2778;1759;1611
28;warmińsko-mazurskie;2804;elbląski;2804082;gm.w Rychliki;Elbląski;3727;2011;1963;53,9576;52,6697;0;159;468;634;409;341;0;151;454;622;404;332
4;kujawsko-pomorskie;406;grudziądzki;406062;gm.w Świecie nad Osą;Toruński;4151;2248;2186;54,1556;52,662;0;188;619;725;421;295;0;183;593;709;413;288
8;lubuskie;803;międzyrzecki;803032;gm.w Przytoczna;Gorzowski;5562;2992;2928;53,7936;52,6429;0;214;704;957;633;484;0;203;686;940;622;477
2;dolnośląskie;208;kłodzki;208021;Kłodzko;Wałbrzyski;26421;14205;13891;53,7641;52,5756;0;681;2873;4380;2867;3404;0;647;2793;4298;2817;3336
32;zachodniopomorskie;3202;choszczeński;3202033;gm.m-w. Drawno;Gorzowski;4993;2687;2625;53,8153;52,5736;0;158;597;830;631;471;0;146;582;816;623;458
30;wielkopolskie;3010;koniński;3010022;gm.w Grodziec;Koniński;5131;2756;2697;53,7127;52,5629;0;156;735;936;470;459;0;147;712;922;461;455
30;wielkopolskie;3023;słupecki;3023072;gm.w Strzałkowo;Koniński;10280;5557;5403;54,0564;52,5584;0;342;1460;1941;982;832;0;318;1404;1902;970;809
4;kujawsko-pomorskie;403;bydgoski;403052;gm.w Nowa Wieś Wielka;Bydgoski;10309;5537;5418;53,7104;52,556;0;412;1330;2072;962;761;0;396;1300;2039;944;739
8;lubuskie;803;międzyrzecki;803012;gm.w Bledzew;Gorzowski;4281;2325;2249;54,3097;52,5345;0;158;559;726;467;415;0;150;535;700;458;406
8;lubuskie;810;żagański;810043;gm.m-w. Iłowa;Zielonogórski;6777;3654;3559;53,9177;52,5159;0;195;878;1204;782;595;0;182;845;1191;769;572
32;zachodniopomorskie;3203;drawski;3203052;gm.w Wierzchowo;Koszaliński;4192;2244;2201;53,5305;52,5048;0;133;511;698;500;402;0;128;499;688;490;396
4;kujawsko-pomorskie;407;inowrocławski;407033;gm.m-w. Gniewkowo;Bydgoski;14315;7670;7515;53,5802;52,4974;0;509;1778;2531;1478;1374;0;479;1737;2497;1462;1340
4;kujawsko-pomorskie;408;lipnowski;408032;gm.w Chrostkowo;Włocławski;2851;1552;1496;54,437;52,4728;0;132;411;498;257;254;0;127;394;484;252;239
4;kujawsko-pomorskie;402;brodnicki;402062;gm.w Bartniczka;Toruński;4708;2522;2470;53,5684;52,4639;0;227;678;871;384;362;0;221;665;858;374;352
32;zachodniopomorskie;3211;policki;3211033;gm.m-w. Nowe Warpno;Szczeciński;1624;880;852;54,1872;52,4631;0;55;176;284;225;140;0;52;169;281;215;135
2;dolnośląskie;217;strzeliński;217012;gm.w Borów;Wrocławski;5238;2834;2748;54,1046;52,4628;0;176;666;991;527;474;0;166;643;964;515;460
26;świętokrzyskie;2608;pińczowski;2608013;gm.m-w. Działoszyce;Kielecki;4836;2676;2537;55,335;52,4607;0;111;578;829;542;616;0;106;557;793;499;582
26;świętokrzyskie;2603;kazimierski;2603022;gm.w Czarnocin;Kielecki;3723;2011;1953;54,0156;52,4577;0;98;438;634;408;433;0;94;430;614;396;419
24;śląskie;2404;częstochowski;2404132;gm.w Poczesna;Częstochowski;12641;6768;6631;53,5401;52,4563;0;356;1606;2309;1401;1096;0;339;1571;2265;1378;1078
30;wielkopolskie;3016;obornicki;3016032;gm.w Ryczywół;Pilski;7264;3940;3810;54,2401;52,4504;0;337;1066;1300;686;551;0;319;1015;1271;666;539
8;lubuskie;808;świebodziński;808063;gm.m-w. Zbąszynek;Zielonogórski;8273;4466;4339;53,9828;52,4477;1;262;1110;1439;923;731;0;253;1071;1404;895;716
8;lubuskie;809;zielonogórski;809053;gm.m-w. Nowogród Bobrzański;Zielonogórski;9381;5033;4918;53,651;52,4251;0;331;1238;1696;973;795;0;310;1211;1670;950;777
12;małopolskie;1213;oświęcimski;1213043;gm.m-w. Kęty;;33990;18171;17817;53,4598;52,4184;0;1043;4407;5949;3479;3293;0;996;4308;5859;3430;3224
22;pomorskie;2216;sztumski;2216042;gm.w Stary Targ;Elbląski;6204;3317;3252;53,4655;52,4178;0;252;890;1079;630;466;0;238;870;1062;625;457
4;kujawsko-pomorskie;404;chełmiński;404072;gm.w Unisław;Toruński;6989;3791;3663;54,2424;52,4109;0;273;1006;1218;722;572;0;249;979;1179;709;547
14;mazowieckie;1433;węgrowski;1433011;Węgrów;Siedlecki;12452;6694;6525;53,7584;52,4012;0;328;1603;2153;1308;1302;0;317;1543;2102;1287;1276
8;lubuskie;802;krośnieński;802022;gm.w Bobrowice;Zielonogórski;3161;1706;1656;53,9703;52,3885;0;111;420;572;330;273;0;105;412;558;316;265
22;pomorskie;2216;sztumski;2216053;gm.m-w. Sztum;Elbląski;18182;9743;9524;53,586;52,3815;0;693;2342;3081;2037;1590;0;651;2282;3027;2003;1561
32;zachodniopomorskie;3207;kamieński;3207063;gm.m-w. Wolin;Szczeciński;12081;6487;6328;53,6959;52,3798;0;406;1402;1994;1531;1154;0;382;1363;1952;1497;1134
26;świętokrzyskie;2611;starachowicki;2611011;Starachowice;;47638;25630;24945;53,8016;52,3637;0;1203;5043;7283;5884;6217;0;1141;4873;7127;5757;6047
10;łódzkie;1017;wieluński;1017032;gm.w Konopnica;Sieradzki;3759;2020;1968;53,7377;52,3543;0;124;430;647;386;433;0;113;413;634;383;425
32;zachodniopomorskie;3203;drawski;3203023;gm.m-w. Drawsko Pomorskie;Koszaliński;17008;9130;8902;53,6806;52,3401;0;552;2016;2913;1933;1716;0;519;1957;2849;1899;1678
30;wielkopolskie;3025;średzki;3025022;gm.w Krzykosy;Poznański;7163;3823;3749;53,3715;52,3384;0;238;1033;1315;686;551;0;228;1004;1293;676;548
4;kujawsko-pomorskie;419;żniński;419013;gm.m-w. Barcin;Bydgoski;14720;7830;7703;53,1929;52,3302;0;497;1791;2574;1552;1416;0;477;1748;2546;1539;1393
14;mazowieckie;1419;płocki;1419092;gm.w Nowy Duninów;Płocki;3979;2120;2082;53,2797;52,3247;0;120;514;728;405;353;0;117;496;722;399;348
14;mazowieckie;1419;płocki;1419022;gm.w Bodzanów;Płocki;8152;4341;4265;53,2507;52,3184;0;246;1027;1436;865;767;0;231;999;1419;857;759
30;wielkopolskie;3030;wrzesiński;3030012;gm.w Kołaczkowo;Poznański;5988;3203;3132;53,4903;52,3046;0;213;862;1037;638;453;0;205;833;1022;631;441
24;śląskie;2414;bieruńsko-lędziński;2414031;Lędziny;Katowicki;16731;8905;8745;53,2246;52,2682;1;482;2369;3109;1613;1331;0;463;2301;3072;1598;1311
30;wielkopolskie;3022;rawicki;3022013;gm.m-w. Bojanowo;Leszczyński;8710;4638;4551;53,2491;52,2503;0;279;1185;1497;863;814;0;274;1158;1471;845;803
14;mazowieckie;1403;garwoliński;1403072;gm.w Maciejowice;Siedlecki;6871;3697;3590;53,8059;52,2486;0;243;887;1266;655;646;0;224;856;1238;642;630
24;śląskie;2410;pszczyński;2410022;gm.w Kobiór;Katowicki;4971;2655;2597;53,4098;52,243;0;196;632;898;467;462;0;180;619;883;460;455
4;kujawsko-pomorskie;410;nakielski;410053;gm.m-w. Szubin;Bydgoski;24917;13364;13016;53,6341;52,2374;0;928;3516;4494;2414;2012;0;883;3403;4410;2375;1945
12;małopolskie;1215;suski;1215072;gm.w Stryszawa;Bielski;11926;6345;6229;53,2031;52,2304;0;408;1741;2095;1084;1017;0;392;1698;2069;1069;1001
28;warmińsko-mazurskie;2814;olsztyński;2814072;gm.w Jonkowo;Olsztyński;7495;4035;3914;53,8359;52,2215;0;330;975;1553;710;467;0;303;928;1524;700;459
28;warmińsko-mazurskie;2804;elbląski;2804073;gm.m-w. Pasłęk;Elbląski;19205;10311;10029;53,6891;52,2208;0;725;2542;3211;2155;1678;0;669;2468;3163;2115;1614
12;małopolskie;1206;krakowski;1206012;gm.w Czernichów;Krakowski;14704;7892;7677;53,6725;52,2103;0;502;2210;2792;1322;1066;0;477;2142;2739;1295;1024
6;lubelskie;601;bialski;601021;Terespol;Bialskopodlaski;5457;2945;2849;53,9674;52,2082;0;143;670;988;602;542;0;130;634;967;589;529
2;dolnośląskie;262;Legnica;262011;Legnica;;98436;52783;51381;53,6216;52,1974;0;2794;12373;16244;10737;10635;0;2596;11917;15894;10526;10448
30;wielkopolskie;3023;słupecki;3023022;gm.w Lądek;Koniński;5750;3082;3001;53,6;52,1913;0;173;795;973;623;518;0;163;770;961;604;503
24;śląskie;2403;cieszyński;2403021;Ustroń;Bielski;15989;8570;8343;53,5993;52,1796;0;403;1984;2638;1631;1914;0;376;1916;2582;1600;1869
24;śląskie;2408;mikołowski;2408042;gm.w Ornontowice;Katowicki;6179;3280;3224;53,083;52,1767;0;218;841;1235;521;465;0;206;826;1224;512;456
14;mazowieckie;1422;przasnyski;1422052;gm.w Krasne;Ciechanowski;3560;1903;1857;53,4551;52,1629;0;107;436;591;429;340;0;101;420;578;423;335
4;kujawsko-pomorskie;419;żniński;419063;gm.m-w. Żnin;Bydgoski;23923;12841;12474;53,6764;52,1423;0;795;3066;4096;2568;2316;0;740;2976;4005;2487;2266
28;warmińsko-mazurskie;2815;ostródzki;2815022;gm.w Dąbrówno;Olsztyński;4235;2285;2208;53,9551;52,137;0;181;551;797;418;338;0;168;535;777;407;321
10;łódzkie;1004;łęczycki;1004063;gm.m-w. Piątek;Płocki;5892;3196;3070;54,243;52,1045;0;187;738;1041;625;605;0;174;703;996;604;593
32;zachodniopomorskie;3208;kołobrzeski;3208033;gm.m-w. Gościno;Koszaliński;5133;2761;2673;53,7892;52,0748;0;155;702;887;565;452;0;136;673;865;555;444
30;wielkopolskie;3012;krotoszyński;3012033;gm.m-w. Koźmin Wielkopolski;Kaliski;13140;6999;6839;53,2648;52,0472;0;382;1706;2343;1305;1263;0;363;1638;2296;1299;1243
12;małopolskie;1206;krakowski;1206123;gm.m-w. Słomniki;Krakowski;13557;7233;7056;53,3525;52,0469;0;436;1836;2503;1264;1194;0;404;1778;2453;1254;1167
28;warmińsko-mazurskie;2807;iławski;2807073;gm.m-w. Zalewo;Olsztyński;6699;3566;3486;53,2318;52,0376;0;288;888;1132;710;548;0;278;854;1113;702;539
