wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�;w1_zaszczepieni_w_wieku_0_11;w1_zaszczepieni_w_wieku_12_19;w1_zaszczepieni_w_wieku_20_39;w1_zaszczepieni_w_wieku_40_59;w1_zaszczepieni_w_wieku_60_69;w1_zaszczepieni_w_wieku_70plus;w3_zaszczepieni_pe�n�_dawk�_w_wieku_0_11;w3_zaszczepieni_pe�n�_dawk�_w_wieku_12_19;w3_zaszczepieni_pe�n�_dawk�_w_wieku_20_39;w3_zaszczepieni_pe�n�_dawk�_w_wieku_40_59;w3_zaszczepieni_pe�n�_dawk�_w_wieku_60_69;w3_zaszczepieni_pe�n�_dawk�_w_wieku_70plus
24;śląskie;2404;częstochowski;2404162;gm.w Starcza;Częstochowski;2853;1588;1569;55,6607;54,9947;0;70;383;549;325;261;0;66;377;544;322;260
8;lubuskie;811;żarski;811021;Żary;;37052;20855;20376;56,2858;54,993;0;1187;4703;6723;4271;3971;0;1126;4571;6595;4190;3894
32;zachodniopomorskie;3214;stargardzki;3214011;Stargard;;67579;38104;37139;56,3844;54,9564;0;2128;8623;11721;8041;7591;0;1997;8315;11478;7895;7454
22;pomorskie;2211;pucki;2211011;Hel;Gdański;3212;1878;1765;58,4682;54,9502;0;145;421;620;355;337;0;140;410;592;324;299
14;mazowieckie;1417;otwocki;1417032;gm.w Celestynów;Warszawski;11701;6607;6428;56,4653;54,9355;0;423;1717;2223;1200;1044;0;391;1668;2172;1170;1027
2;dolnośląskie;203;głogowski;203011;Głogów;;66120;37229;36323;56,3052;54,935;0;2340;7660;11267;8132;7830;0;2182;7400;11027;8006;7708
12;małopolskie;1206;krakowski;1206022;gm.w Igołomia-Wawrzeńczyce;Krakowski;7728;4352;4243;56,3147;54,9042;0;276;1166;1430;811;669;0;258;1132;1399;794;660
4;kujawsko-pomorskie;462;Grudziądz;462011;Grudziądz;;93564;52796;51365;56,4277;54,8983;0;3311;11748;16383;10962;10392;0;3095;11370;16025;10720;10155
14;mazowieckie;1405;grodziski;1405062;gm.w Żabia Wola;Skierniewicki;9226;5217;5063;56,5467;54,8775;0;430;1370;1983;818;616;0;392;1329;1946;802;594
30;wielkopolskie;3005;grodziski;3005023;gm.m-w. Grodzisk Wielkopolski;Poznański;20095;11414;11027;56,8002;54,8743;0;770;3375;3807;1901;1561;0;721;3226;3709;1855;1516
30;wielkopolskie;3017;ostrowski;3017011;Ostrów Wielkopolski;;71560;40119;39262;56,0634;54,8658;0;2071;8993;12669;7996;8390;0;1972;8758;12429;7851;8252
14;mazowieckie;1412;miński;1412073;gm.m-w. Halinów;Warszawski;16438;9223;9015;56,1078;54,8424;0;799;2450;3464;1417;1093;0;759;2390;3405;1385;1076
8;lubuskie;808;świebodziński;808012;gm.w Lubrza;Zielonogórski;3602;2032;1975;56,4131;54,8306;0;132;522;720;385;273;0;129;503;701;377;265
10;łódzkie;1020;zgierski;1020083;gm.m-w. Stryków;Łódzki;12681;7221;6951;56,9435;54,8143;0;423;1817;2468;1325;1188;0;385;1731;2405;1282;1148
12;małopolskie;1213;oświęcimski;1213023;gm.m-w. Brzeszcze;Katowicki;21103;11824;11567;56,0299;54,8121;0;682;2740;3795;2549;2058;0;659;2649;3718;2514;2027
4;kujawsko-pomorskie;401;aleksandrowski;401092;gm.w Zakrzewo;Włocławski;3480;1949;1907;56,0057;54,7989;0;138;502;629;362;318;0;133;486;621;357;310
24;śląskie;2470;Mysłowice;2470011;Mysłowice;;74559;41794;40843;56,0549;54,7794;0;2561;10701;13619;7803;7110;0;2428;10377;13369;7670;6999
8;lubuskie;801;gorzowski;801011;Kostrzyn nad Odrą;Gorzowski;17704;10005;9698;56,5127;54,7786;0;605;2580;3329;1882;1609;0;574;2493;3235;1835;1561
28;warmińsko-mazurskie;2803;działdowski;2803052;gm.w Płośnica;Ciechanowski;5540;3111;3034;56,1552;54,7653;0;207;815;1042;552;495;0;191;787;1027;543;486
24;śląskie;2417;żywiecki;2417011;Żywiec;;30733;17300;16822;56,2913;54,736;0;976;4135;5722;3102;3365;0;923;4040;5584;3015;3260
32;zachodniopomorskie;3214;stargardzki;3214033;gm.m-w. Dobrzany;Szczeciński;4762;2660;2606;55,8589;54,7249;0;167;618;879;555;441;0;158;603;866;548;431
28;warmińsko-mazurskie;2861;Elbląg;2861011;Elbląg;;118582;66694;64883;56,2429;54,7157;1;4029;15117;20386;13987;13174;0;3662;14632;19932;13706;12951
32;zachodniopomorskie;3217;wałecki;3217011;Wałcz;Pilski;24949;13986;13651;56,0584;54,7156;0;803;3051;4400;2915;2817;0;759;2949;4308;2865;2770
